AESTH&INTP,Aesthetic and Interpretive Understanding
AFRAMER,African and African American Studies
AKKAD,Akkadian
AM-CIV,American Civilization
ANE,Ancient Near East
ANTHRO,Anthropology
APMTH,Applied Math
APPHY,Applied Physics
ARABIC,Arabic
ARAMAIC,Aramaic
ASTRON,Astronomy
BBS,Biological and Biomedical Science
BCMP,Biological Chemistry & Molecular Pharmcology
BIOPHYS,Biophysics
BIOSTAT,Biostatistics
BPH,Biological Sciences in Public Health
BSDM,Biological Sciences in Dental Medicine
CATALAN,Catalan
CELLBIO,Cellular Biology
CELTIC,Celtic
CHEM,Chemistry
CHEMBIO,Chemical Biology
CHNSE,Chinese
CHNSHIS,Chinese History
CHNSLIT,Chinese Literature
CLAS-HEB,Classical Hebrew
CLAS-STDY,Classical Studies
CLASARCH,Classical Archaeology
CLASPHIL,Classical Philosophy
CLASSIC,Classics
COMPLIT,Comparative Literature
COMPSCI,Computer Science
CPB,Chemical and Physical Biology
CULTR&BLF,Culture and Belief
DRAMA,Drama
E&M-REASON,Empirical and Mathematical Reasoning
E-PSCI,Earth and Planetary Sciences
EABS,East Asian Buddhism
EASTD,East Asian Studies
ECON,Economics
EGYPTIAN,Egyptian
ENG-SCI,Engineering Sciences
ENGLISH,English
ESPP,Environmental Science and Public Policy
ETH-REASON,Ethical Reason
EXPOS,Expository Writing
FOLKMYTH,Folklore and Mythology
FRENCH,French
FRSEMR,Freshman Seminar
GENETIC,Genetics
GERMAN,German
GHHP,Global Health and Health Policy
GOV,Government
GREEK,Greek
HAA,History of Art and Architecture
HBTM,Human Biology And Translational Medicine
HEB,Human Evolutionary Biology
HEBREW,Hebrew
HIST,History
HIST-LIT,History of Literature
HISTSCI,History of Science
HLTHPOL,Health Policy
HSEMR-WI,Historical Seminar Winthrop House
IMUNOL,Immunology
IRANIAN,Iranian
IRISH,Irish
ISLAMCIV,Islamic Civilization
ITAL,Italian
JAPAN,Japanese
JAPNHIST,Japenese History
JAPNLIT,Japenese Literature
JEWISHST,Jewish History
KOREAN,Korean
KORHIST,Korean History
KORLIT,Korean Literature
LAT-STD,Latin American Studies
LATIN,Latin
LIFESCI,Life Science
LING,Linguistics
LITER,Literature
LPS,Life and Physical Sciences
MANCHU,Manchu
MATH,Mathematics
MBB,"Mind, Brain, and Behavior"
MCB,Molecular and Cellular Biology
MED-SCI,Medical Sciences
MEDGREEK,Medieval Greek
MEDLATIN,Medieval Latin
MEDVLSTD,Medieval Studies
MICROBI,Microbiology
MOD-HEB,Modern Hebrew
MODGRK,Modern Greek
MUSIC,Music
NEC,Near Eastern Languages and Civilizations
NEP,Nepali
NEUROBIO,Neurobiology
OEB,Organismic and Evolutionary Biology
PATHOL,Pathology
PERSIAN,Persian
PHIL,Philosophy
PHYSCI,Physics
PHYSICS,Physics
PORTUG,Portuguese
PSY,Psychology
RELIGION,Religion
ROM-STD,Romance Language Studies
SANSKRIT,Sanskrit
SAS,South Asian STudies
SCAND,Scandinavian
SCI-LIVSYS,Science of Living Systems
SCI-PHYUNV,Science of the Physical Universe
SCOTGAELIC,Scottish Gaelic
SCRB,Stem Cell and Regenerative Biology
SEMPHIL,Semitic Philology
SLAVIC,Slavic
SOC-STD,Social Studies
SOC-WORLD,Societies of the World
SOCIOL,Sociology
SPANSH,Spanish
STAT,Statistics
SWAHILI,Swahili
SWEDISH,Swedish
SYSTBIO,Systems Biology
TAM,Tamil
THI,Thai
TIBET,Tibetan
TURKISH,Turkish
TWI,Twi
UKRAN,Ukrainian
URD,Urdu-Hindi
US-WORLD,United States in the World
UYGHUR,Uyghur
VES,Visual and Enviromental Studies
VIETNAM,Vietnamese
VIROLOGY,Virology
WELSH,Welsh
WOMGEN,Women and Gender Studies
YIDDISH,Yiddish
YORUBA,Yoruba
